lp;ID_Mapa;InnerLnd;borough;Area_Code;Area_Name;X1_All_1674_in_work;X1_comm_bike;X1_proc_comm_bike;X2_Total_pop_nat;X2_1a_British;X2_1bc_NonBritish;X2_2b_EU;X2_2c_Non_EU;X2_21_OtherEuro;X2_2c2_Asia_All;X2_2c3_Rest_World_All;X3_Total_pop_cob;X3_1a_UK_cob;X3_1bc_NonUK_cob;X3_2b_EU_cob;X3_2c_All_NonEU_cob;X3_2c1_OtherEuro_cob;X3_2c2_All_Asia_cob;X3_2c3_Rest_World_all_cob;X4a_White;X4b_Asian;X4c_Black;X4d_Mixed_Other;X4abcd_Total_ethnic;x4_white_pr;x4_asian_pr;x4_black_pr;X5_Social_integration;X6_Rail_Entries_Exits_Full;X6_Rail_Entries_Exits_Reduced;X6_Rail_Entries_Exits_Season;X6_Rail_Entries_Exits;X7_AvPTAI2015;X7_PTAL;X9_PLG_cars_Private;X9_Total_PLG;X10_LCN_km;X10_LCNpl_km;X10sum_LCN_LCNpl;X11_1a_Trips_pday;X11_1b_Rail;X11_1c_UndergrDLR;X11_1d_Bus_tram;X11_1e_Taxi_other;X11_1f_Car_motor;X11_1g_Cycle;X11_1h_Walk;X11_1i_Sum_Ptrans;X11_2_Bus_realibility;X11_3a_CO2_Road_transport;X_11_3b_CO2_Total_grbased_transport;X11_3c_CO2_Gr_based_trans_ton_pc;X11_4_HighwayCond;x12b_entry_exit_mln;x13bbus_speed;x15_km;x15_density;x16_unemp;x4_nonwhite_pr;x4_nonwhite;Xcity
11;13;0;1;E09000011;Greenwich;117821;2738;2,3;280;210;70;36;34;4;11;20;280;187;93;29;64;5;18;41;178000;25000;59000;18000;280000;64,00;9,00;21,00;94;4724198;5446014;8011360;18181572;8,38;2;72952;80717;120;64;184;542;5;6;16;1;4;2;3;27;1,2;224;235;0,9;10,1;28,1;9,6;47,3;6049;10,5;36;102000;0
4;14;0;1;E09000004;Bexley;110159;1295;1,2;247;225;22;10;12;1;4;7;247;208;38;10;29;4;9;16;196000;16000;27000;8000;247000;79,00;6,00;11,00;83;5427762;5804136;9682352;20914250;4,55;1;99700;113172;114;22;136;428;5;0;12;1;58;1;24;17;1,1;192;205;0,9;4,5;0,0;10,7;60,6;4127;7,6;21;51000;0
10;15;0;1;E09000010;Enfield;137622;1957;1,4;336;288;49;28;20;5;8;7;336;223;114;37;77;24;24;30;217000;41000;47000;31000;336000;65,00;12,00;14,00;86;6698948;8343830;7249118;22291896;4,63;1;112614;127874;99;31;130;617;3;4;13;1;48;2;3;2;1,1;370;371;1,1;18,4;15,0;8,9;80,8;4178;11,5;35;119000;0
31;16;0;1;E09000031;Waltham Forest;121021;3430;2,8;277;211;66;39;27;3;10;14;277;176;101;42;59;6;22;32;155000;41000;45000;37000;277000;56,00;15,00;16,00;89;4185676;5717102;5271410;15174188;7,83;2;73482;82998;112;32;144;485;2;8;13;1;39;2;34;23;1,1;181;184;0,7;17,7;43,1;8,3;38,8;7306;10,9;44;123000;0
26;17;0;1;E09000026;Redbridge;124692;1411;1,1;307;221;85;45;40;4;30;7;307;172;135;32;103;9;71;22;115000;149000;23000;19000;306000;38,00;49,00;8,00;88;4726442;6409872;6802718;17939032;5,73;2;99064;109539;135;20;155;440;3;9;9;1;53;1;25;21;1,1;258;259;0,9;7,8;39,8;9,2;56,4;5422;9,8;62;191000;0
29;18;0;1;E09000029;Sutton;97658;2066;2,1;204;176;28;13;14;2;8;4;204;150;54;14;40;2;25;14;140000;35000;13000;16000;204000;69,00;17,00;6,00;92;3605012;4137410;5211988;12954410;5,40;2;83122;93815;72;17;89;392;6;1;1;1;54;2;26;17;0,9;115;115;0,6;11,9;0,0;9,5;43,8;4730;6,8;31;64000;0
27;19;0;1;E09000027;Richmond upon Thames;99204;6062;6,1;201;172;29;18;11;2;5;4;201;153;48;16;31;4;11;16;167000;13000;5000;16000;200000;84,00;7,00;3,00;97;9533420;12110494;10559268;32203182;4,90;1;74267;79704;167;65;232;456;7;3;1;1;39;7;34;2;1;167;211;1,1;21,9;0,0;9,5;57,4;3474;5,1;16;34000;0
24;20;0;1;E09000024;Merton;104822;3524;3,4;210;170;40;18;21;2;11;8;210;136;73;16;58;4;27;27;135000;39000;16000;19000;209000;65,00;19,00;8,00;95;7028174;9305614;11324826;27658614;8,56;2;66817;76811;78;35;113;429;6;6;12;1;43;3;3;24;1;135;136;0,6;8,8;36,8;8,1;37,6;5566;7,3;35;74000;0
32;21;1;1;E09000032;Wandsworth;178582;13267;7,4;320;244;77;55;22;6;5;12;320;210;110;46;65;6;22;37;227000;37000;19000;34000;317000;72,00;12,00;6,00;96;14586592;20445948;27327668;62360208;13,97;3;75351;82860;129;38;167;642;8;7;14;1;31;4;35;29;1,1;175;190;0,6;9,9;59,5;7,6;34,3;9468;7,1;28;90000;0
13;22;1;1;E09000013;Hammersmith and Fulham;99618;7420;7,4;182;127;55;35;20;1;8;11;182;100;82;32;50;5;19;26;122000;24000;22000;13000;181000;67,00;13,00;12,00;97;5332250;7642938;7470494;20445682;16,33;4;38525;43852;54;18;72;462;4;17;14;2;19;5;41;35;1,1;116;134;0,7;13,6;125,6;7,4;16,4;11224;8,9;33;59000;0
20;23;1;1;E09000020;Kensington and Chelsea;81387;3955;4,9;157;106;51;28;23;3;5;15;157;81;76;24;52;6;16;30;99000;13000;18000;26000;156000;63,00;8,00;12,00;96;;;;;23,26;5;37695;41247;41;19;60;409;4;17;14;5;19;4;37;35;1,2;122;126;0,8;5,9;151,2;6,8;12,1;13139;7,3;37;57000;0
33;24;1;1;E09000033;Westminster;111179;5365;4,8;255;162;92;54;38;6;15;17;255;119;135;46;90;11;41;38;134000;35000;20000;51000;240000;56,00;15,00;8,00;96;33124578;63967642;59479768;156571988;39,75;6;41662;51605;73;46;119;1132;8;25;14;4;9;3;37;47;1,2;264;269;1,2;8,6;655,3;7,1;21,5;11839;7,5;44;106000;0
7;25;1;1;E09000007;Camden;108966;7072;6,5;250;181;69;33;36;2;14;19;250;142;109;34;75;10;26;38;156000;32000;22000;40000;250000;62,00;13,00;9,00;95;25943320;75539864;38983476;140466660;24,32;5;38105;47781;78;28;106;733;7;19;13;2;13;4;42;39;1,1;161;168;0,7;9,4;308,8;6,4;21,8;11595;8;38;94000;0
30;26;1;1;E09000030;Tower Hamlets;120873;8112;6,7;311;216;94;45;49;3;30;16;311;166;145;37;108;6;82;20;127000;150000;14000;19000;311000;41,00;48,00;5,00;96;9428042;15100160;11589740;36117942;18,53;4;39295;46694;65;32;97;588;6;22;11;2;17;4;38;39;1,2;163;181;0,6;8,7;146,8;7,8;19,8;16036;13;59;183000;0
19;27;1;1;E09000019;Islington;106765;10204;9,6;234;182;52;29;23;4;10;9;234;158;76;26;50;7;18;24;151000;18000;26000;39000;234000;65,00;8,00;11,00;95;17833378;24302230;20120424;62256032;26,67;6;32165;36727;42;25;67;560;6;14;17;2;15;5;41;37;1,1;103;105;0,5;13,3;145,8;7,2;14,9;16038;9,8;35;83000;0
12;28;1;1;E09000012;Hackney;118556;17312;14,6;277;204;73;33;40;5;10;26;277;171;106;28;77;9;21;48;151000;29000;48000;49000;277000;55,00;10,00;17,00;94;10003230;17062856;11769836;38835922;17,48;4;38036;42841;41;25;66;473;6;7;19;2;16;6;44;32;1,1;125;126;0,5;12,7;8,7;7,5;19;14790;11,3;45;126000;0
14;29;1;1;E09000014;Haringey;124296;6142;4,9;278;199;79;54;26;6;5;15;278;163;115;53;61;13;14;34;186000;19000;40000;33000;278000;67,00;7,00;14,00;85;7416002;9907448;9255114;26578564;12,61;3;58114;64881;89;33;122;494;4;9;2;1;26;3;38;33;1;139;141;0,5;19;66,7;8,2;29,6;9605;12,5;33;92000;0
25;30;1;1;E09000025;Newham;132454;2239;1,7;346;216;130;79;51;3;39;10;346;149;197;58;139;4;96;39;110000;143000;56000;35000;345000;32,00;41,00;16,00;96;15007630;22886558;21954210;59848398;11,08;3;64008;72189;106;28;134;632;3;15;18;1;26;2;35;36;1,2;186;227;0,7;10,3;110,1;8,9;36,2;9759;15,2;68;234000;0
2;31;0;1;E09000002;Barking and Dagenham;75217;1084;1,4;210;160;50;31;19;2;8;9;210;130;80;24;56;5;29;22;104000;48000;41000;17000;210000;50,00;23,00;20,00;85;3703148;5278816;4893236;13875200;5,58;2;58740;66887;73;11;84;257;3;9;16;1;44;2;27;28;1,1;137;145;0,7;2,7;33,6;9,3;36,1;5893;12,6;50;106000;0
1;32;1;1;E09000001;City of London;4747;252;5,3;8,7;6,2;2,5;;;;;;8,7;5,481;3,219;0,9396;2,2794;;;;6838;1105;228;523;8700;79,00;13,00;3,00;;35907186;33787614;66785878;136480678;90,80;6,5;1337;2658;13;14;27;282;21;28;8;4;4;4;32;57;1,2;54;58;7,2;6,4;242,4;4,9;2,9;2645;9,24;21,0;1855,4;1
